Orthogroup	Allma1_GeneCatalog_proteins_20131203.aa	Blabri1_GeneCatalog_proteins_20160901.aa	Blastocladiella_emersonii_ATCC_22665.proteins	Catan2_GeneCatalog_proteins_20160412.aa	Chytriomyces_confervae_GCA_006535975_ASM653597v1_protein	Parsed1_GeneCatalog_proteins_20170905.aa	Rhihy1_GeneCatalog_proteins_20151219.aa	Total
OG0000000	0	0	0	0	0	215	0	215
OG0000001	13	14	11	13	33	24	37	145
OG0000002	43	17	23	40	1	6	0	130
OG0000003	18	5	16	17	27	1	36	120
OG0000004	0	120	0	0	0	0	0	120
OG0000005	20	20	13	27	0	0	0	80
OG0000006	0	0	0	0	34	0	42	76
OG0000007	0	0	0	0	1	0	71	72
OG0000008	0	0	69	0	0	0	0	69
OG0000009	0	0	0	0	10	0	59	69
OG0000010	34	6	14	14	0	0	0	68
OG0000011	7	2	3	3	22	8	21	66
OG0000012	0	0	0	0	0	0	66	66
OG0000013	20	11	3	1	25	1	3	64
OG0000014	0	0	0	0	0	64	0	64
OG0000015	21	10	12	16	0	0	0	59
OG0000016	3	32	8	2	5	4	5	59
OG0000017	0	0	0	0	0	0	58	58
OG0000018	1	0	0	53	0	1	0	55
OG0000019	0	0	0	0	0	0	52	52
OG0000020	4	5	3	3	10	10	16	51
OG0000021	0	51	0	0	0	0	0	51
OG0000022	0	0	0	0	51	0	0	51
OG0000023	17	1	4	3	7	10	8	50
OG0000024	0	0	0	50	0	0	0	50
OG0000025	0	0	0	0	0	0	50	50
OG0000026	1	1	1	3	0	43	0	49
OG0000027	48	0	0	0	0	0	0	48
OG0000028	13	0	17	13	1	3	1	48
OG0000029	47	0	0	0	0	0	0	47
OG0000030	0	1	0	1	12	2	31	47
OG0000031	0	0	0	0	0	0	47	47
OG0000032	0	0	0	0	0	0	47	47
OG0000033	1	0	43	0	1	0	1	46
OG0000034	16	11	9	3	2	1	3	45
OG0000035	0	0	0	0	12	0	33	45
OG0000036	0	0	0	0	5	0	39	44
OG0000037	0	0	0	0	0	0	44	44
OG0000038	9	4	5	5	0	18	2	43
OG0000039	1	0	0	0	5	0	37	43
OG0000040	12	4	6	12	0	8	0	42
OG0000041	0	42	0	0	0	0	0	42
OG0000042	13	7	8	10	0	3	0	41
OG0000043	40	1	0	0	0	0	0	41
OG0000044	5	4	3	6	4	10	9	41
OG0000045	6	4	4	4	8	5	10	41
OG0000046	18	6	1	4	4	1	7	41
OG0000047	0	0	0	0	35	0	6	41
OG0000048	0	0	0	0	0	0	41	41
OG0000049	7	7	6	9	4	0	7	40
OG0000050	2	0	3	5	14	8	8	40
OG0000051	10	14	3	8	3	1	1	40
OG0000052	0	0	0	0	0	40	0	40
OG0000053	0	0	0	0	24	0	15	39
OG0000054	11	7	8	8	0	4	0	38
OG0000055	38	0	0	0	0	0	0	38
OG0000056	5	4	8	13	0	8	0	38
OG0000057	0	0	0	0	9	0	29	38
OG0000058	10	7	11	3	1	3	2	37
OG0000059	10	5	4	6	4	4	4	37
OG0000060	3	3	5	5	10	0	11	37
OG0000061	0	3	8	7	0	19	0	37
OG0000062	0	0	37	0	0	0	0	37
OG0000063	18	4	2	5	1	0	6	36
OG0000064	5	10	2	10	2	0	7	36
OG0000065	5	4	3	1	8	0	15	36
OG0000066	8	2	2	2	4	1	17	36
OG0000067	1	9	22	4	0	0	0	36
OG0000068	0	0	2	0	33	0	1	36
OG0000069	8	2	3	4	8	3	7	35
OG0000070	17	5	4	3	2	3	1	35
OG0000071	6	3	2	13	4	1	6	35
OG0000072	0	0	0	0	3	0	32	35
OG0000073	9	4	2	4	6	5	4	34
OG0000074	11	5	4	6	1	6	1	34
OG0000075	7	5	6	4	4	5	3	34
OG0000076	9	5	5	4	4	2	5	34
OG0000077	0	34	0	0	0	0	0	34
OG0000078	0	0	34	0	0	0	0	34
OG0000079	0	0	0	0	0	34	0	34
OG0000080	33	0	0	0	0	0	0	33
OG0000081	5	2	2	2	9	3	10	33
OG0000082	7	1	4	3	7	2	9	33
OG0000083	8	5	5	8	1	1	5	33
OG0000084	11	2	3	2	9	1	5	33
OG0000085	7	2	1	2	6	2	13	33
OG0000086	18	3	3	4	1	4	0	33
OG0000087	0	1	0	0	0	32	0	33
OG0000088	0	0	0	0	0	0	33	33
OG0000089	6	3	3	5	5	6	4	32
OG0000090	10	4	5	11	0	2	0	32
OG0000091	13	2	8	9	0	0	0	32
OG0000092	8	4	3	3	7	1	6	32
OG0000093	2	2	3	1	6	3	15	32
OG0000094	0	10	2	6	3	0	11	32
OG0000095	0	0	32	0	0	0	0	32
OG0000096	0	0	0	0	0	32	0	32
OG0000097	6	4	9	8	0	3	1	31
OG0000098	0	31	0	0	0	0	0	31
OG0000099	0	0	31	0	0	0	0	31
OG0000100	0	0	0	0	14	0	17	31
OG0000101	0	0	0	0	0	0	31	31
OG0000102	30	0	0	0	0	0	0	30
OG0000103	7	4	8	6	1	3	1	30
OG0000104	5	2	2	2	6	5	8	30
OG0000105	14	0	1	1	6	1	7	30
OG0000106	15	6	3	5	0	1	0	30
OG0000107	8	4	4	4	4	2	4	30
OG0000108	6	7	3	3	4	1	6	30
OG0000109	7	4	7	7	2	3	0	30
OG0000110	9	1	7	4	1	7	1	30
OG0000111	5	4	3	4	5	4	5	30
OG0000112	0	0	0	0	0	0	30	30
OG0000113	3	3	6	3	2	3	9	29
OG0000114	8	3	3	2	7	3	3	29
OG0000115	2	2	6	4	4	4	7	29
OG0000116	4	2	0	3	9	3	8	29
OG0000117	1	0	0	0	5	1	22	29
OG0000118	0	0	0	0	2	0	27	29
OG0000119	0	0	0	0	1	0	28	29
OG0000120	0	0	0	0	0	29	0	29
OG0000121	0	0	0	0	0	0	29	29
OG0000122	15	2	5	2	0	1	3	28
OG0000123	3	3	4	4	4	3	7	28
OG0000124	7	2	4	2	5	1	7	28
OG0000125	6	4	5	2	2	5	4	28
OG0000126	4	8	0	5	0	11	0	28
OG0000127	1	1	0	5	16	0	5	28
OG0000128	0	0	28	0	0	0	0	28
OG0000129	0	0	0	0	11	0	17	28
OG0000130	0	0	0	0	1	0	27	28
OG0000131	2	2	1	0	3	2	17	27
OG0000132	9	5	4	6	1	0	2	27
OG0000133	3	0	3	6	4	3	8	27
OG0000134	7	7	5	4	0	4	0	27
OG0000135	6	3	3	3	5	1	6	27
OG0000136	16	1	2	5	0	3	0	27
OG0000137	10	1	2	2	5	2	5	27
OG0000138	3	5	2	0	5	0	12	27
OG0000139	0	2	0	25	0	0	0	27
