# BUSCO version is: 5.3.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	c_be_22_5	1421591	1428653	-	1882.9	1433
83779at2759	Complete	c_be_22_16	160991	162475	+	215.7	234
87842at2759	Complete	c_be_22_1	1183499	1186324	-	230.7	506
97116at2759	Complete	c_be_22_7	1830127	1833786	-	972.6	942
100698at2759	Complete	c_be_22_3	1242202	1244657	-	767.2	497
142542at2759	Complete	c_be_22_14	20764	28343	-	212.4	499
156083at2759	Complete	c_be_22_1	937477	944964	+	3453.3	1926
160593at2759	Missing
166920at2759	Complete	c_be_22_1	1643651	1647550	+	411.2	671
176625at2759	Complete	c_be_22_11	6761	9928	-	191.1	389
179362at2759	Complete	c_be_22_10	900950	905096	-	685.1	1194
245208at2759	Complete	c_be_22_6	810106	813624	+	1421.4	878
257318at2759	Complete	c_be_22_1	1187785	1190350	+	300.0	361
261328at2759	Complete	c_be_22_1	3422092	3425263	-	305.6	373
261419at2759	Complete	c_be_22_1	2946670	2950571	+	208.4	278
270107at2759	Complete	c_be_22_1	2565086	2568047	+	497.2	596
271586at2759	Complete	c_be_22_1	138703	141944	+	157.8	460
290630at2759	Complete	c_be_22_11	789329	792008	+	617.1	617
293315at2759	Complete	c_be_22_1	5082829	5087565	+	578.2	597
296129at2759	Complete	c_be_22_11	943999	947211	+	1024.5	699
299766at2759	Complete	c_be_22_4	808302	810455	-	352.6	412
306227at2759	Complete	c_be_22_10	214519	217117	-	455.8	484
320059at2759	Complete	c_be_22_2	1318345	1319961	+	861.4	451
324863at2759	Complete	c_be_22_1	247843	251050	+	423.3	481
325552at2759	Complete	c_be_22_11	1447188	1449170	+	344.6	387
330169at2759	Complete	c_be_22_12	370840	372436	-	264.1	323
331411at2759	Missing
341721at2759	Complete	c_be_22_10	1396990	1399904	+	209.6	368
345441at2759	Complete	c_be_22_1	3942726	3944460	+	450.0	384
355408at2759	Complete	c_be_22_1	899647	901752	-	681.7	535
369837at2759	Complete	c_be_22_11	856271	858315	-	298.0	350
375960at2759	Complete	c_be_22_7	76719	78706	-	231.8	316
383503at2759	Complete	c_be_22_1	3169806	3171629	+	274.9	371
388820at2759	Complete	c_be_22_1	3560501	3563267	-	603.5	605
390348at2759	Complete	c_be_22_4	928599	931655	-	1162.8	764
392369at2759	Complete	c_be_22_3	2020775	2022376	+	403.9	345
396755at2759	Complete	c_be_22_1	3724601	3728133	-	211.7	574
418107at2759	Complete	c_be_22_7	1252026	1253348	-	418.7	392
426305at2759	Complete	c_be_22_4	2414032	2416356	+	419.4	460
450058at2759	Complete	c_be_22_3	2276199	2277882	-	97.4	221
453044at2759	Missing
457861at2759	Missing
464990at2759	Complete	c_be_22_1	2430891	2432671	-	313.0	339
491869at2759	Complete	c_be_22_6	933648	935075	-	209.3	247
513979at2759	Complete	c_be_22_4	2094583	2096624	-	100.6	153
543764at2759	Complete	c_be_22_11	394244	395684	+	169.0	245
549762at2759	Complete	c_be_22_9	259868	262307	-	500.9	426
551907at2759	Complete	c_be_22_10	1329528	1332218	+	278.7	359
570797at2759	Complete	c_be_22_1	3474281	3475558	+	175.2	314
582756at2759	Complete	c_be_22_4	1976301	1977930	+	212.5	348
598949at2759	Fragmented	c_be_22_7	1656516	1659669	+	211.3	304
604979at2759	Complete	c_be_22_6	869798	871749	-	392.8	300
621827at2759	Complete	c_be_22_3	236032	238116	-	308.1	336
625387at2759	Complete	c_be_22_10	1089367	1092677	+	189.0	331
655400at2759	Complete	c_be_22_4	1319868	1321269	-	228.4	260
664730at2759	Complete	c_be_22_2	2068931	2070322	+	624.4	349
671536at2759	Complete	c_be_22_1	3938855	3940669	-	442.3	361
671846at2759	Fragmented	c_be_22_14	1205638	1206879	+	37.1	84
673132at2759	Complete	c_be_22_18	34699	35835	+	307.4	277
674160at2759	Complete	c_be_22_1	3690860	3698582	+	558.4	1083
674169at2759	Missing
679187at2759	Complete	c_be_22_11	1317536	1319956	+	250.3	393
