# BUSCO version is: 5.3.2 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-08-05, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
494at4751	Complete	c_be_22_8	831749	845707	+	2814.9	2926	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	c_be_22_1	4937973	4948511	-	2027.8	2159	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	c_be_22_11	0	5924	-	2534.5	1670	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Missing
4409at4751	Missing
4466at4751	Fragmented	c_be_22_7	732203	736520	+	1116.0	1317	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	c_be_22_1	937558	944892	+	3072.5	1880	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Missing
6186at4751	Fragmented	c_be_22_15	385478	388135	+	326.9	657	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	c_be_22_4	336324	340358	-	742.2	782	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	c_be_22_7	286889	291051	+	1021.7	821	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Missing
6812at4751	Complete	c_be_22_5	1421711	1428557	-	1782.0	1423	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	c_be_22_1	3971031	3976979	-	846.2	1048	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Missing
8406at4751	Fragmented	c_be_22_14	25444	27791	-	266.8	447	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	c_be_22_9	99472	104432	+	2124.9	1402	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Missing
10531at4751	Complete	c_be_22_14	1199725	1202821	-	500.7	674	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Missing
11636at4751	Missing
11879at4751	Missing
12258at4751	Complete	c_be_22_7	1079435	1083295	+	1359.8	991	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	c_be_22_3	830107	834518	+	164.4	368	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	c_be_22_4	955203	960086	+	1348.6	1215	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Fragmented	c_be_22_6	1735961	1739434	+	225.1	626	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	c_be_22_1	1177367	1182307	+	616.0	1123	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Duplicated	c_be_22_4	61097	64754	-	1234.0	884	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14295at4751	Duplicated	c_be_22_14	807852	811208	-	1151.4	819	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Missing
14523at4751	Complete	c_be_22_5	79858	83109	+	1030.3	878	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Missing
14986at4751	Complete	c_be_22_10	92286	95304	-	806.9	677	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	c_be_22_4	1660975	1664068	+	712.7	612	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Missing
20600at4751	Complete	c_be_22_4	928608	931523	-	1239.8	781	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	c_be_22_7	1793152	1797031	-	755.4	896	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	c_be_22_3	346699	350868	-	857.4	684	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	c_be_22_1	3560573	3562882	-	623.0	567	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	c_be_22_3	1964124	1967327	-	1186.8	831	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
