GeneID	TranscriptID	Feature	Contig	Start	Stop	Strand	Name	Product	Alias/Synonyms	EC_number	BUSCO	PFAM	InterPro	EggNog	COG	GO Terms	Secreted	Membrane	Protease	CAZyme	antiSMASH	Notes
H9P43_000001	H9P43_000001-T1	tRNA	c_be_22_1	44	115	-		tRNA-Trp														
H9P43_000002	H9P43_000002-T1	tRNA	c_be_22_1	562	634	-		tRNA-Val														
H9P43_000003	H9P43_000003-T1	tRNA	c_be_22_1	2141	2222	+		tRNA-Ser														
H9P43_000004	H9P43_000004-T1	tRNA	c_be_22_1	2761	2832	-		tRNA-Gln														
H9P43_000005	H9P43_000005-T1	tRNA	c_be_22_1	4785	4856	+		tRNA-iMet														
H9P43_000006	H9P43_000006-T1	tRNA	c_be_22_1	5218	5289	-		tRNA-His														
H9P43_000007	H9P43_000007-T1	tRNA	c_be_22_1	6098	6169	-		tRNA-Pro														
H9P43_000008	H9P43_000008-T1	tRNA	c_be_22_1	7422	7493	-		tRNA-Trp														
H9P43_000009	H9P43_000009-T1	tRNA	c_be_22_1	7940	8012	-		tRNA-Val														
H9P43_000010	H9P43_000010-T1	tRNA	c_be_22_1	9512	9593	+		tRNA-Ser														
H9P43_000011	H9P43_000011-T1	tRNA	c_be_22_1	10132	10203	-		tRNA-Gln														
H9P43_000012	H9P43_000012-T1	tRNA	c_be_22_1	12156	12227	+		tRNA-iMet														
H9P43_000013	H9P43_000013-T1	tRNA	c_be_22_1	12589	12660	-		tRNA-His														
H9P43_000014	H9P43_000014-T1	tRNA	c_be_22_1	13469	13540	-		tRNA-Pro														
H9P43_000015	H9P43_000015-T1	tRNA	c_be_22_1	14793	14864	-		tRNA-Trp														
H9P43_000016	H9P43_000016-T1	tRNA	c_be_22_1	15311	15383	-		tRNA-Val														
H9P43_000017	H9P43_000017-T1	tRNA	c_be_22_1	16883	16964	+		tRNA-Ser														
H9P43_000018	H9P43_000018-T1	tRNA	c_be_22_1	17503	17574	-		tRNA-Gln														
H9P43_000019	H9P43_000019-T1	tRNA	c_be_22_1	19527	19598	+		tRNA-iMet														
H9P43_000020	H9P43_000020-T1	tRNA	c_be_22_1	19960	20031	-		tRNA-His														
H9P43_000021	H9P43_000021-T1	tRNA	c_be_22_1	20840	20911	-		tRNA-Pro														
H9P43_000022	H9P43_000022-T1	tRNA	c_be_22_1	22164	22235	-		tRNA-Trp														
H9P43_000023	H9P43_000023-T1	tRNA	c_be_22_1	22682	22754	-		tRNA-Val														
H9P43_000024	H9P43_000024-T1	tRNA	c_be_22_1	24254	24335	+		tRNA-Ser														
H9P43_000025	H9P43_000025-T1	tRNA	c_be_22_1	24874	24945	-		tRNA-Gln														
H9P43_000026	H9P43_000026-T1	tRNA	c_be_22_1	26897	26968	+		tRNA-iMet														
H9P43_000027	H9P43_000027-T1	tRNA	c_be_22_1	27330	27401	-		tRNA-His														
H9P43_000028	H9P43_000028-T1	tRNA	c_be_22_1	28212	28283	-		tRNA-Pro														
H9P43_000029	H9P43_000029-T1	tRNA	c_be_22_1	29536	29607	-		tRNA-Trp														
H9P43_000030	H9P43_000030-T1	tRNA	c_be_22_1	30054	30126	-		tRNA-Val														
H9P43_000031	H9P43_000031-T1	tRNA	c_be_22_1	31640	31721	+		tRNA-Ser														
H9P43_000032	H9P43_000032-T1	tRNA	c_be_22_1	32260	32331	-		tRNA-Gln														
H9P43_000033	H9P43_000033-T1	tRNA	c_be_22_1	34284	34355	+		tRNA-iMet														
H9P43_000034	H9P43_000034-T1	tRNA	c_be_22_1	34717	34788	-		tRNA-His														
H9P43_000035	H9P43_000035-T1	tRNA	c_be_22_1	35598	35669	-		tRNA-Pro														
