# BUSCO version is: 5.3.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
39650at2759	Complete	H9P43_005137-T1	1890.0	1433
83779at2759	Complete	H9P43_009900-T1	215.0	234
87842at2759	Complete	H9P43_000409-T1	230.1	509
97116at2759	Complete	H9P43_006538-T1	976.3	945
100698at2759	Complete	H9P43_003273-T1	752.9	497
142542at2759	Complete	H9P43_009183-T1	218.0	529
156083at2759	Complete	H9P43_000324-T1	3607.3	1960
160593at2759	Missing
166920at2759	Complete	H9P43_000597-T1	408.6	671
176625at2759	Complete	H9P43_008028-T1	190.1	389
179362at2759	Complete	H9P43_007770-T1	641.4	1194
245208at2759	Complete	H9P43_005579-T1	1421.4	878
257318at2759	Complete	H9P43_000411-T1	299.8	361
261328at2759	Complete	H9P43_001287-T1	307.7	373
261419at2759	Complete	H9P43_001102-T1	220.0	367
270107at2759	Complete	H9P43_000945-T1	499.3	626
271586at2759	Complete	H9P43_000084-T1	155.3	362
290630at2759	Complete	H9P43_008269-T1	622.4	611
293315at2759	Complete	H9P43_001918-T1	578.0	597
296129at2759	Complete	H9P43_008321-T1	1023.6	699
299766at2759	Complete	H9P43_004012-T1	409.0	432
306227at2759	Complete	H9P43_007550-T1	478.9	485
320059at2759	Complete	H9P43_002382-T1	861.1	451
324863at2759	Complete	H9P43_000126-T1	422.4	481
325552at2759	Complete	H9P43_008511-T1	405.0	412
330169at2759	Complete	H9P43_008618-T1	265.1	316
331411at2759	Missing
341721at2759	Complete	H9P43_007924-T1	208.8	368
345441at2759	Complete	H9P43_001496-T1	441.4	384
355408at2759	Complete	H9P43_000311-T1	679.8	536
369837at2759	Complete	H9P43_008293-T1	297.8	350
375960at2759	Complete	H9P43_006003-T1	266.1	296
383503at2759	Complete	H9P43_001193-T1	290.6	371
388820at2759	Complete	H9P43_001346-T1	603.4	605
390348at2759	Complete	H9P43_004056-T1	1162.8	764
392369at2759	Complete	H9P43_003536-T1	403.7	345
396755at2759	Complete	H9P43_001410-T1	211.6	610
418107at2759	Complete	H9P43_006361-T1	421.3	393
426305at2759	Complete	H9P43_004618-T1	419.4	460
450058at2759	Complete	H9P43_003629-T1	107.9	225
453044at2759	Missing
457861at2759	Fragmented	H9P43_002233-T1	37.2	104
464990at2759	Complete	H9P43_000901-T1	312.5	338
491869at2759	Complete	H9P43_005631-T1	213.5	251
513979at2759	Fragmented	H9P43_004508-T1	99.3	149
543764at2759	Complete	H9P43_008157-T1	180.8	257
549762at2759	Complete	H9P43_007076-T1	500.7	414
551907at2759	Complete	H9P43_007902-T1	278.3	359
570797at2759	Complete	H9P43_001315-T1	214.3	412
582756at2759	Complete	H9P43_004466-T1	210.3	334
598949at2759	Fragmented	H9P43_006472-T1	211.4	304
604979at2759	Complete	H9P43_005599-T1	436.8	288
621827at2759	Complete	H9P43_002922-T1	307.7	336
625387at2759	Complete	H9P43_007829-T1	186.9	330
655400at2759	Complete	H9P43_004206-T1	243.1	260
664730at2759	Complete	H9P43_002604-T1	623.9	349
671536at2759	Complete	H9P43_001495-T1	453.2	361
671846at2759	Missing
673132at2759	Complete	H9P43_010131-T1	306.9	277
674160at2759	Complete	H9P43_001397-T1	558.6	1083
674169at2759	Complete	H9P43_003996-T1	105.6	169
679187at2759	Complete	H9P43_008461-T1	264.3	418
679771at2759	Missing
687505at2759	Duplicated	H9P43_003610-T1	167.5	276
687505at2759	Duplicated	H9P43_000545-T1	150.2	255
692986at2759	Fragmented	H9P43_009783-T1	72.9	166
708105at2759	Complete	H9P43_005448-T1	114.3	171
719531at2759	Complete	H9P43_003142-T1	352.3	280
720340at2759	Complete	H9P43_002377-T1	121.6	196
721605at2759	Complete	H9P43_001384-T1	279.6	224
722805at2759	Complete	H9P43_003154-T1	212.8	341
734341at2759	Complete	H9P43_009524-T1	103.2	169
734666at2759	Complete	H9P43_002995-T1	494.2	370
736068at2759	Complete	H9P43_001482-T1	225.6	334
751335at2759	Complete	H9P43_004798-T1	228.8	251
759498at2759	Complete	H9P43_007844-T1	582.0	421
761109at2759	Missing
768809at2759	Complete	H9P43_008635-T1	233.2	257
774318at2759	Complete	H9P43_000934-T1	293.9	313
777920at2759	Complete	H9P43_005060-T1	388.8	334
779909at2759	Complete	H9P43_007979-T1	247.9	226
801857at2759	Complete	H9P43_010127-T1	226.0	200
814241at2759	Complete	H9P43_009139-T1	139.9	285
817008at2759	Complete	H9P43_002734-T1	487.8	296
834694at2759	Complete	H9P43_004195-T1	440.4	330
836599at2759	Complete	H9P43_009568-T1	340.2	347
844748at2759	Complete	H9P43_006356-T1	267.2	347
855834at2759	Complete	H9P43_000214-T1	174.8	310
858842at2759	Complete	H9P43_002127-T1	245.7	314
865202at2759	Complete	H9P43_008431-T1	189.7	187
866359at2759	Missing
869548at2759	Complete	H9P43_007517-T1	175.5	186
878143at2759	Missing
887370at2759	Complete	H9P43_002745-T1	281.1	316
891751at2759	Complete	H9P43_001143-T1	254.0	214
