Seq. Name	Seq. Description	Seq. Length	#Hits	min. eValue	mean Similarity	#GOs	GOs	Enzyme Codes	InterProScan
Be3_1	dynein heavy chain axonemal-like	6516	5	0.0	72.4%	8	F:nucleic acid binding; F:nucleotide binding; F:protein binding; F:motor activity; P:biological_process; F:hydrolase activity; C:cytoskeleton; C:protein complex		IPR000408; IPR001650; IPR002110; IPR003593; IPR004273; IPR009091; IPR011545; IPR011704; IPR013594; IPR013602; IPR014001; IPR020683; IPR024317; IPR024743; IPR026976; IPR026983; G3DSA:3.40.50.300 (GENE3D), PF12774 (PFAM), PF12775 (PFAM), PF12781 (PFAM), PF13540 (PFAM), PF13637 (PFAM), SSF52540 (SUPERFAMILY)	
Be3_2	dynein heavy chain axonemal	5568	5	0.0	68.8%	7	P:biological_process; C:cytoskeleton; C:protein complex; P:metabolic process; F:motor activity; F:nucleotide binding; F:hydrolase activity	-	IPR004273; IPR011704; IPR013143; IPR013602; IPR024317; IPR024743; IPR026983; G3DSA:3.40.50.300 (GENE3D), PTHR10676:SF137 (PANTHER), PF12774 (PFAM), PF12775 (PFAM), PF12781 (PFAM), SSF52540 (SUPERFAMILY)	
Be3_3	dynein heavy chain axonemal	5364	5	0.0	70.6%	5	F:calcium ion binding; F:motor activity; P:biological_process; C:cytoskeleton; C:protein complex		IPR000595; IPR002048; IPR004273; IPR013602; IPR014710; IPR018247; IPR018488; IPR018490; IPR024317; IPR024743; IPR026983; G3DSA:3.40.50.300 (GENE3D), PTHR10676:SF138 (PANTHER), PF12774 (PFAM), PF12775 (PFAM), PF12781 (PFAM), tmhmm (TMHMM), SSF52540 (SUPERFAMILY)	
Be3_4	dynein heavy chain axonemal-like	5306	5	0.0	71.0%	7	F:nucleic acid binding; F:nucleotide binding; F:motor activity; P:biological_process; F:hydrolase activity; C:cytoskeleton; C:protein complex	(3.6) Acting on acid anhydrides	IPR001650; IPR003593; IPR004273; IPR011545; IPR011704; IPR013594; IPR013602; IPR014001; IPR024317; IPR024743; IPR026976; IPR026983; G3DSA:3.40.50.300 (GENE3D), PF12774 (PFAM), PF12775 (PFAM), PF12781 (PFAM), SSF52540 (SUPERFAMILY)	
Be3_5	heavy chain 5-like	5271	5	0.0	75.8%	8	F:motor activity; P:biological_process; C:cytoskeleton; C:protein complex; P:biosynthetic process; F:binding; F:nucleotide binding; F:hydrolase activity	(3.6) Acting on acid anhydrides	IPR003593; IPR004273; IPR004838; IPR004839; IPR011704; IPR013594; IPR013602; IPR015421; IPR015422; IPR015424; IPR024317; IPR024743; IPR026983; G3DSA:3.40.50.300 (GENE3D), PTHR10676:SF35 (PANTHER), PF12774 (PFAM), PF12775 (PFAM), PF12781 (PFAM), SSF46966 (SUPERFAMILY), SSF52540 (SUPERFAMILY)	
Be3_6	dynein heavy chain axonemal	5105	5	0.0	72.6%	11	F:motor activity; C:cytoskeleton; C:protein complex; P:biological_process; P:biosynthetic process; P:cellular protein modification process; P:carbohydrate metabolic process; F:transferase activity; C:cell; F:nucleotide binding; F:hydrolase activity	-	IPR001503; IPR003593; IPR004273; IPR011704; IPR013594; IPR013602; IPR024317; IPR024743; IPR026982; IPR026983; G3DSA:3.40.50.300 (GENE3D), PF12774 (PFAM), PF12775 (PFAM), PF12781 (PFAM), SSF52540 (SUPERFAMILY)	
Be3_7	acetoacetate- ligase	5004	5	0.0	69.8%	2	P:lipid metabolic process; F:catalytic activity	-	IPR000873; IPR005914; IPR008962; IPR020845; G3DSA:3.30.300.30 (GENE3D), G3DSA:3.40.50.980 (GENE3D), PTHR24095 (PANTHER), PTHR24095:SF46 (PANTHER), SSF56801 (SUPERFAMILY)	
Be3_8	acetoacetate- ligase	4995	5	0.0	68.8%	2	P:lipid metabolic process; F:catalytic activity		IPR000873; IPR005914; IPR008962; IPR020845; G3DSA:3.30.300.30 (GENE3D), G3DSA:3.40.50.980 (GENE3D), PTHR24095 (PANTHER), PTHR24095:SF46 (PANTHER), SSF56801 (SUPERFAMILY)	
Be3_9	dynein heavy chain axonemal	4837	5	0.0	71.6%	7	P:biological_process; C:cytoskeleton; C:protein complex; P:metabolic process; F:motor activity; F:nucleotide binding; F:hydrolase activity	-	IPR011704; IPR013602; IPR024317; IPR024743; IPR026983; G3DSA:3.40.50.300 (GENE3D), PTHR10676:SF137 (PANTHER), PF12774 (PFAM), PF12775 (PFAM), PF12781 (PFAM), SSF52540 (SUPERFAMILY)	
Be3_10	dynein beta ciliary-like isoform 2	4788	5	0.0	76.8%	6	F:motor activity; P:biological_process; C:cytoskeleton; C:protein complex; F:nucleotide binding; F:hydrolase activity	(3.6) Acting on acid anhydrides	IPR003593; IPR004273; IPR011704; IPR013594; IPR013602; IPR024317; IPR024743; IPR026983; G3DSA:3.40.50.300 (GENE3D), PTHR10676:SF36 (PANTHER), PF12774 (PFAM), PF12775 (PFAM), PF12781 (PFAM), SSF46966 (SUPERFAMILY), SSF52540 (SUPERFAMILY)	
