# SignalP-5.0	Organism: euk	Timestamp: 20220617153159
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
H9P43_001329-T1	OTHER	0.014059	0.985941	
H9P43_001330-T1	OTHER	0.012641	0.987359	
H9P43_001331-T1	OTHER	0.001255	0.998745	
H9P43_001332-T1	OTHER	0.000639	0.999361	
H9P43_001333-T1	OTHER	0.003229	0.996771	
H9P43_001334-T1	OTHER	0.000861	0.999139	
H9P43_001335-T1	SP(Sec/SPI)	0.996624	0.003376	CS pos: 24-25. AAA-TP. Pr: 0.7591
H9P43_001336-T1	OTHER	0.000829	0.999171	
H9P43_001337-T1	OTHER	0.001788	0.998212	
H9P43_001338-T1	OTHER	0.001788	0.998212	
H9P43_001339-T1	OTHER	0.000641	0.999359	
H9P43_001340-T1	OTHER	0.018705	0.981295	
H9P43_001341-T1	OTHER	0.003187	0.996813	
H9P43_001342-T1	OTHER	0.001260	0.998740	
H9P43_001343-T1	OTHER	0.001059	0.998941	
H9P43_001344-T1	OTHER	0.001334	0.998666	
H9P43_001345-T1	OTHER	0.000407	0.999593	
H9P43_001346-T1	OTHER	0.003729	0.996271	
H9P43_001347-T1	OTHER	0.001826	0.998174	
H9P43_001348-T1	OTHER	0.004888	0.995112	
H9P43_001349-T1	OTHER	0.002585	0.997415	
H9P43_001350-T1	SP(Sec/SPI)	0.962720	0.037280	CS pos: 29-30. AVA-GV. Pr: 0.4870
H9P43_001351-T1	OTHER	0.000517	0.999483	
H9P43_001352-T1	OTHER	0.004598	0.995402	
H9P43_001353-T1	OTHER	0.000701	0.999299	
H9P43_001354-T1	OTHER	0.001093	0.998907	
H9P43_001355-T1	OTHER	0.005170	0.994830	
H9P43_001356-T1	OTHER	0.001358	0.998642	
H9P43_001357-T1	OTHER	0.006947	0.993053	
H9P43_001358-T1	OTHER	0.002026	0.997974	
H9P43_001359-T1	OTHER	0.000882	0.999118	
H9P43_001360-T1	OTHER	0.002015	0.997985	
H9P43_001361-T1	OTHER	0.000888	0.999112	
H9P43_001362-T1	OTHER	0.001367	0.998633	
H9P43_001363-T1	OTHER	0.000823	0.999177	
H9P43_001364-T1	OTHER	0.004478	0.995522	
H9P43_001365-T1	OTHER	0.001402	0.998598	
H9P43_001366-T1	OTHER	0.032950	0.967050	
H9P43_001367-T1	OTHER	0.000555	0.999445	
H9P43_001368-T1	OTHER	0.002577	0.997423	
H9P43_001369-T1	OTHER	0.000887	0.999113	
H9P43_001370-T1	OTHER	0.003435	0.996565	
H9P43_001371-T1	OTHER	0.000815	0.999185	
H9P43_001372-T1	OTHER	0.002065	0.997935	
H9P43_001373-T1	OTHER	0.001185	0.998815	
H9P43_001374-T1	OTHER	0.000666	0.999334	
H9P43_001375-T1	OTHER	0.000130	0.999870	
H9P43_001376-T1	OTHER	0.001995	0.998005	
H9P43_001377-T1	OTHER	0.002766	0.997234	
H9P43_001378-T1	OTHER	0.004347	0.995653	
H9P43_001379-T1	OTHER	0.002901	0.997099	
H9P43_001380-T1	OTHER	0.000604	0.999396	
H9P43_001381-T1	OTHER	0.000528	0.999472	
H9P43_001382-T1	OTHER	0.000950	0.999050	
H9P43_001383-T1	OTHER	0.000891	0.999109	
H9P43_001384-T1	OTHER	0.002853	0.997147	
H9P43_001385-T1	OTHER	0.001387	0.998613	
H9P43_001386-T1	OTHER	0.002275	0.997725	
H9P43_001387-T1	OTHER	0.002083	0.997917	
H9P43_001388-T1	OTHER	0.000662	0.999338	
H9P43_001389-T1	OTHER	0.149332	0.850668	
H9P43_001390-T1	OTHER	0.001335	0.998665	
H9P43_001391-T1	OTHER	0.001313	0.998687	
H9P43_001392-T1	OTHER	0.001079	0.998921	
H9P43_001393-T1	OTHER	0.001362	0.998638	
H9P43_001394-T1	OTHER	0.001291	0.998709	
H9P43_001395-T1	OTHER	0.000699	0.999301	
H9P43_001396-T1	OTHER	0.000416	0.999584	
H9P43_001397-T1	OTHER	0.000610	0.999390	
H9P43_001398-T1	OTHER	0.002767	0.997233	
H9P43_001399-T1	OTHER	0.000370	0.999630	
H9P43_001400-T1	OTHER	0.001276	0.998724	
H9P43_001401-T1	OTHER	0.001822	0.998178	
H9P43_001402-T1	OTHER	0.000660	0.999340	
H9P43_001403-T1	OTHER	0.003279	0.996721	
H9P43_001404-T1	OTHER	0.000553	0.999447	
H9P43_001405-T1	OTHER	0.004442	0.995558	
H9P43_001406-T1	OTHER	0.003169	0.996831	
H9P43_001407-T1	OTHER	0.006980	0.993020	
H9P43_001408-T1	OTHER	0.009139	0.990861	
H9P43_001409-T1	OTHER	0.005620	0.994380	
H9P43_001410-T1	OTHER	0.000573	0.999427	
H9P43_001411-T1	OTHER	0.001049	0.998951	
H9P43_001412-T1	OTHER	0.001143	0.998857	
H9P43_001413-T1	OTHER	0.002389	0.997611	
H9P43_001414-T1	OTHER	0.000687	0.999313	
H9P43_001415-T1	OTHER	0.000944	0.999056	
H9P43_001416-T1	OTHER	0.002079	0.997921	
H9P43_001417-T1	OTHER	0.001257	0.998743	
H9P43_001418-T1	OTHER	0.006864	0.993136	
H9P43_001419-T1	OTHER	0.000564	0.999436	
H9P43_001420-T1	OTHER	0.001169	0.998831	
H9P43_001421-T1	OTHER	0.000218	0.999782	
H9P43_001422-T1	OTHER	0.000817	0.999183	
H9P43_001423-T1	SP(Sec/SPI)	0.988420	0.011580	CS pos: 32-33. AAA-IA. Pr: 0.2616
H9P43_001424-T1	SP(Sec/SPI)	0.874910	0.125090	CS pos: 36-37. ALA-AT. Pr: 0.6368
H9P43_001425-T1	OTHER	0.002338	0.997662	
H9P43_001426-T1	OTHER	0.003709	0.996291	
H9P43_001427-T1	OTHER	0.002328	0.997672	
H9P43_001428-T1	OTHER	0.116242	0.883758	
H9P43_001429-T1	OTHER	0.015846	0.984154	
H9P43_001430-T1	OTHER	0.008061	0.991939	
H9P43_001431-T1	OTHER	0.001221	0.998779	
H9P43_001432-T1	OTHER	0.002928	0.997072	
H9P43_001433-T1	OTHER	0.018161	0.981839	
H9P43_001434-T1	SP(Sec/SPI)	0.640844	0.359156	CS pos: 28-29. TLG-AY. Pr: 0.3735
H9P43_001435-T1	OTHER	0.000783	0.999217	
H9P43_001436-T1	OTHER	0.234831	0.765169	
H9P43_001437-T1	OTHER	0.001214	0.998786	
H9P43_001438-T1	OTHER	0.001427	0.998573	
H9P43_001439-T1	OTHER	0.002544	0.997456	
H9P43_001440-T1	OTHER	0.008908	0.991092	
H9P43_001441-T1	OTHER	0.424191	0.575809	
H9P43_001442-T1	SP(Sec/SPI)	0.835397	0.164603	CS pos: 43-44. ADA-AA. Pr: 0.7153
H9P43_001443-T1	OTHER	0.014092	0.985908	
H9P43_001444-T1	OTHER	0.031948	0.968052	
H9P43_001445-T1	OTHER	0.108229	0.891771	
H9P43_001446-T1	OTHER	0.001939	0.998061	
H9P43_001447-T1	OTHER	0.000247	0.999753	
H9P43_001448-T1	OTHER	0.001427	0.998573	
H9P43_001449-T1	OTHER	0.045665	0.954335	
H9P43_001450-T1	OTHER	0.003161	0.996839	
H9P43_001451-T1	OTHER	0.001031	0.998969	
H9P43_001452-T1	OTHER	0.001035	0.998965	
H9P43_001453-T1	OTHER	0.011509	0.988491	
H9P43_001454-T1	OTHER	0.002475	0.997525	
H9P43_001455-T1	OTHER	0.002485	0.997515	
H9P43_001456-T1	OTHER	0.001511	0.998489	
H9P43_001457-T1	OTHER	0.004170	0.995830	
H9P43_001458-T1	OTHER	0.001165	0.998835	
H9P43_001459-T1	OTHER	0.005420	0.994580	
H9P43_001460-T1	OTHER	0.002782	0.997218	
H9P43_001461-T1	OTHER	0.001384	0.998616	
H9P43_001462-T1	OTHER	0.003136	0.996864	
H9P43_001463-T1	OTHER	0.002024	0.997976	
H9P43_001464-T1	OTHER	0.001594	0.998406	
H9P43_001465-T1	OTHER	0.000680	0.999320	
H9P43_001466-T1	OTHER	0.431174	0.568826	
H9P43_001467-T1	OTHER	0.001348	0.998652	
H9P43_001468-T1	OTHER	0.001591	0.998409	
H9P43_001469-T1	OTHER	0.000647	0.999353	
H9P43_001470-T1	OTHER	0.001317	0.998683	
H9P43_001471-T1	OTHER	0.013115	0.986885	
H9P43_001472-T1	OTHER	0.004221	0.995779	
H9P43_001473-T1	OTHER	0.001564	0.998436	
H9P43_001474-T1	OTHER	0.010758	0.989242	
H9P43_001475-T1	OTHER	0.002051	0.997949	
H9P43_001476-T1	OTHER	0.067536	0.932464	
H9P43_001477-T1	OTHER	0.001812	0.998188	
H9P43_001478-T1	OTHER	0.000771	0.999229	
H9P43_001479-T1	OTHER	0.000269	0.999731	
H9P43_001480-T1	OTHER	0.002039	0.997961	
