SeqName	Hit-Desc	GO-Group	GO-ID	Term
Be3_1	dynein heavy chain axonemal-like	F	GO:0003676	nucleic acid binding
Be3_1	dynein heavy chain axonemal-like	F	GO:0000166	nucleotide binding
Be3_1	dynein heavy chain axonemal-like	F	GO:0005515	protein binding
Be3_1	dynein heavy chain axonemal-like	F	GO:0003774	motor activity
Be3_1	dynein heavy chain axonemal-like	P	GO:0008150	biological_process
Be3_1	dynein heavy chain axonemal-like	F	GO:0016787	hydrolase activity
Be3_1	dynein heavy chain axonemal-like	C	GO:0005856	cytoskeleton
Be3_1	dynein heavy chain axonemal-like	C	GO:0043234	protein complex
Be3_2	dynein heavy chain axonemal	P	GO:0008150	biological_process
Be3_2	dynein heavy chain axonemal	C	GO:0005856	cytoskeleton
Be3_2	dynein heavy chain axonemal	C	GO:0043234	protein complex
Be3_2	dynein heavy chain axonemal	P	GO:0008152	metabolic process
Be3_2	dynein heavy chain axonemal	F	GO:0003774	motor activity
Be3_2	dynein heavy chain axonemal	F	GO:0000166	nucleotide binding
Be3_2	dynein heavy chain axonemal	F	GO:0016787	hydrolase activity
Be3_3	dynein heavy chain axonemal	F	GO:0005509	calcium ion binding
Be3_3	dynein heavy chain axonemal	F	GO:0003774	motor activity
Be3_3	dynein heavy chain axonemal	P	GO:0008150	biological_process
Be3_3	dynein heavy chain axonemal	C	GO:0005856	cytoskeleton
Be3_3	dynein heavy chain axonemal	C	GO:0043234	protein complex
Be3_4	dynein heavy chain axonemal-like	F	GO:0003676	nucleic acid binding
Be3_4	dynein heavy chain axonemal-like	F	GO:0000166	nucleotide binding
Be3_4	dynein heavy chain axonemal-like	F	GO:0003774	motor activity
Be3_4	dynein heavy chain axonemal-like	P	GO:0008150	biological_process
Be3_4	dynein heavy chain axonemal-like	F	GO:0016787	hydrolase activity
Be3_4	dynein heavy chain axonemal-like	C	GO:0005856	cytoskeleton
Be3_4	dynein heavy chain axonemal-like	C	GO:0043234	protein complex
Be3_5	heavy chain 5-like	F	GO:0003774	motor activity
Be3_5	heavy chain 5-like	P	GO:0008150	biological_process
Be3_5	heavy chain 5-like	C	GO:0005856	cytoskeleton
Be3_5	heavy chain 5-like	C	GO:0043234	protein complex
Be3_5	heavy chain 5-like	P	GO:0009058	biosynthetic process
Be3_5	heavy chain 5-like	F	GO:0005488	binding
Be3_5	heavy chain 5-like	F	GO:0000166	nucleotide binding
Be3_5	heavy chain 5-like	F	GO:0016787	hydrolase activity
Be3_6	dynein heavy chain axonemal	F	GO:0003774	motor activity
Be3_6	dynein heavy chain axonemal	C	GO:0005856	cytoskeleton
Be3_6	dynein heavy chain axonemal	C	GO:0043234	protein complex
Be3_6	dynein heavy chain axonemal	P	GO:0008150	biological_process
Be3_6	dynein heavy chain axonemal	P	GO:0009058	biosynthetic process
Be3_6	dynein heavy chain axonemal	P	GO:0006464	cellular protein modification process
Be3_6	dynein heavy chain axonemal	P	GO:0005975	carbohydrate metabolic process
Be3_6	dynein heavy chain axonemal	F	GO:0016740	transferase activity
Be3_6	dynein heavy chain axonemal	C	GO:0005623	cell
Be3_6	dynein heavy chain axonemal	F	GO:0000166	nucleotide binding
Be3_6	dynein heavy chain axonemal	F	GO:0016787	hydrolase activity
Be3_7	acetoacetate- ligase	P	GO:0006629	lipid metabolic process
Be3_7	acetoacetate- ligase	F	GO:0003824	catalytic activity
Be3_8	acetoacetate- ligase	P	GO:0006629	lipid metabolic process
Be3_8	acetoacetate- ligase	F	GO:0003824	catalytic activity
Be3_9	dynein heavy chain axonemal	P	GO:0008150	biological_process
Be3_9	dynein heavy chain axonemal	C	GO:0005856	cytoskeleton
Be3_9	dynein heavy chain axonemal	C	GO:0043234	protein complex
Be3_9	dynein heavy chain axonemal	P	GO:0008152	metabolic process
Be3_9	dynein heavy chain axonemal	F	GO:0003774	motor activity
Be3_9	dynein heavy chain axonemal	F	GO:0000166	nucleotide binding
