# BUSCO version is: 5.3.2 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-08-05, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	H9P43_006784-T1	2819.5	2922	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	H9P43_001867-T1	2059.3	2253	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	H9P43_008027-T1	2553.8	1659	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Missing
4409at4751	Complete	H9P43_001397-T1	1039.3	1800	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Fragmented	H9P43_006186-T1	1173.5	1576	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	H9P43_000324-T1	3107.6	1880	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	H9P43_003436-T1	529.3	852	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	H9P43_009639-T1	477.1	1192	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	H9P43_003845-T1	741.7	782	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	H9P43_006065-T1	1023.8	843	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Missing
6812at4751	Complete	H9P43_005137-T1	1784.7	1423	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	H9P43_001506-T1	846.3	1048	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Fragmented	H9P43_004544-T1	212.7	512	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Fragmented	H9P43_009183-T1	270.2	484	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	H9P43_007016-T1	2124.6	1402	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Fragmented	H9P43_002886-T1	95.0	144	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
